# container	index	ct	gold	crowns	vouchers	name	total gold	total crowns	total vouchers
Bag 08	17	4	50000			Dwarven Fountain, Forged	200000		
Bag 08	18	4				Dwarven Gear, Flat			
Bag 08	19	7	25			Dwarven Gear, Tiered	175		
Bag 08	20	2	1040			Factotum Body, Obsolete	2080		
Bag 08	21	3	200			Factotum Elbow, Obsolete	600		
Bag 08	22	3	2928.7060244222			Fish, Large	8786.1180732666		
Bag 08	23	7	2825.5677792017			Fish, Medium	19778.974454412		
Bag 08	24	5				Fish, Salmon			
Bag 08	25	7	82			Fish, Small	574		
Bag 08	26	7				Fish, Trout			
Bag 08	27	2	5000			Fisher's Catch of the Day Rack	10000		
Bag 08	28	3	2500			Fishing Pole Rack	7500		
Bag 08	29	2	1208.0737458621			Hlaalu Shelf, Long	2416.1474917242		
Bag 08	30	5	97			Ivory, Polished	485		
Bag 08	31	14	2399			Jester's Coffer	33586		
Bag 08	32	9	690			Lesser Soul Gem, Empty	6210		
Bag 08	33	5	10000			Mountain of Loot	50000		
Bag 08	34	10	1000			Noble Pocket Lint	10000		
Bag 08	35	12	2500			Pile of Coins	30000		
Bag 08	36	5	500			Pocket Change	2500		
Bag 08	37	2	1750			Quality Fabric, Folded	3500		
Bag 08	38	10	1784.9246354764			Redguard Tankard, Full	17849.246354764		
Bag 08	39	2				Rough Axe, Practical			
Bag 08	40	1				Vvardvark Ice Sculpture			
Bag 08	41	4	5417			Soul Gem, Grand	21668		
Bag 08	42	1	19500			Soul Gem, Great	19500		
Bag 08	43	3				Spool, Empty			
Bag 08	44	2	50000			Witch's Totem, Bog	100000		
Bag 08	45	12	10000			Wedding Flower Trellis	120000		
Bag 08	46	4	7500			Wedding Curtain	30000		
Bag 08	47	3	735.3336853638			Nord Chair, Braced	2206.0010560914		
Bag 08	48	4	4046.7471608749			Nord Chair, Lattice	16186.9886435		
Bag 08	49	1				Fish, Bass			
Bag 08	50	1	677.5874233129			Grapes, Wax	677.5874233129		
Bag 08	51	1	1100			Giant Clam, Ancient	1100		
Bag 08	52	1	1023.4789598689			Ham, Display	1023.4789598689		
Bag 08	53	1	36774.007561759			Hlaalu Trinket Box, Curious Turtle	36774.007561759		
Bag 08	54	1				Pearl, Enormous			
Bag 08	55	1	974.5259090215			Pot Pie, Display	974.5259090215		
Bag 08	56	1	659			Sir Socks's Ball of Yarn	659		
Bag 08	57	1				Mudcrab Ice Sculpture			
Bag 09	1	5	100			Rough Block, Light Stone	500		
Bag 09	2	7	100			Rough Block, Stone Brick	700		
Bag 09	3	8	100			Rough Block, Stone Section	800		
Bag 09	4	10	100			Rough Block, Stone Slab	1000		
Bag 09	5	57	138.4897174421			Rough Box, Boarded	7893.9138941997		
Bag 09	6	24	100			Rough Plank, Long	2400		
Bag 09	7	36	100			Rough Planks, Narrow	3600		
Bag 09	8	4	100			Rough Tarp, Standard	400		
Bag 09	9	8	100			Rough Tarp, Oversized	800		
Bag 09	10	8	100			Rough Planks, Wide	800		
Bag 09	11	25	100			Rough Planks, Platform	2500		
Bag 09	12	14		410		Imperial Pillar, Straight		5740	
Bag 09	13	2				Imperial Well, Akatosh			
Bag 09	14	2		110		Snow Pile		220	
Bag 09	15	4	10000			Replica Stone Nest	40000		
Bag 10	1	1	942.2800143286			Dark Elf Table, Formal	942.2800143286		
Bag 10	2	1	2514.4887248277			Dark Elf Table, Tea	2514.4887248277		
Bag 10	3	1	3075.4386299654			Dres Divider, Chains	3075.4386299654		
Bag 10	4	1	881.523259237			High Elf Bed, Verdant	881.523259237		
Bag 10	5	1	6700			Hlaalu Bath Tub, Masterwork	6700		
Bag 10	6	1	1261.3236615764			Hlaalu Bed, Canopy	1261.3236615764		
Bag 10	7	1	1208.0737458621			Hlaalu Dresser, Scroll Drawers	1208.0737458621		
Bag 10	8	1	2278.4816706017			Hlaalu Mirror, Standing	2278.4816706017		
Bag 10	9	1	10000			Jester's Pavilion, Open	10000		
Bag 10	10	1	4177.6441470247			Nord Bed, Canopy	4177.6441470247		
Bag 10	11	1	897.3197709922			Nord Bench, Braced	897.3197709922		
Bag 10	12	1	2420.1994504969			Nord Counter, Corner	2420.1994504969		
Bag 10	13	1	4328.8203391505			Nord Desk, Tied	4328.8203391505		
Bag 10	14	1	922.1549603018			Nord Hutch, Rough	922.1549603018		
Bag 10	15	1	922.1549603018			Nord Hutch, Rough	922.1549603018		
Bag 10	16	1	946.9146297133			Nord Nightstand, Rough	946.9146297133		
Bag 10	17	1	847.7249122711			Nord Stool, Rough	847.7249122711		
Bag 10	18	1	2990.7046631713			Nord Table, Great	2990.7046631713		
Bag 10	19	1	897.3197709922			Nord Table, Kitchen	897.3197709922		
Bag 10	20	1	723.5057757953			Nord Trestle, Braced	723.5057757953		
Bag 10	21	1	996.5094884343			Nord Trunk, Heavy	996.5094884343		
Bag 10	22	1	499			Orcish Bar, Long Block	499		
Bag 10	23	1	2184.1137264972			Orcish Counter, Block	2184.1137264972		
Bag 10	24	1	972.1272700032			Orcish Table, Braced Formal	972.1272700032		
Bag 10	25	1	8205			Redguard Counter, Grill	8205		
Bag 10	26	1	893.7333895422			Redguard Nightstand, Sturdy	893.7333895422		
Bag 10	27	1	244.3698554023			Wood Elf Bedding, Scattered	244.3698554023		
Bag 10	28	1	2279.9208416097			High Elf Bookcase, Verdant	2279.9208416097		
Bag 10	29	1	28000			Provisioning Station	28000		
Bag 11	1	16				Cherry Blossom Twig			
Bag 11	2	200				Disposable Juggling Knives			
Bag 11	3	200				Disposable Juggling Knives			
Bag 11	4	130				Disposable Juggling Knives			
Bag 11	5	200				Disposable Swallower's Sword			
Bag 11	6	200				Disposable Swallower's Sword			
Bag 11	7	110				Disposable Swallower's Sword			
Bag 11	8	200				Fire-Breather's Oil Bun			
Bag 11	9	200				Fire-Breather's Oil Bun			
Bag 11	10	200				Fire-Breather's Oil Bun			
Bag 11	11	15				Fire-Breather's Oil Bun			
Bag 11	12	100	75			High Hrothgar Festival Mints	7500		
Bag 11	13	11	75			High Hrothgar Festival Mints	825		
Bag 11	14	200	1.86			Mud Ball	372		
Bag 11	15	200	1.86			Mud Ball	372		
Bag 11	16	150	1.86			Mud Ball	279		
Bag 11	17	43				Plume Dazzler			
Bag 11	18	35				Sailor's Warning Festival Grog			
Bag 11	19	1	110.393544137			Rough Bag, Burlap	110.393544137		
Bag 11	20	34				Sparkwreath Dazzler			
Bag 11	21	72				Spiral Dazzler			
Bag 11	22	1	248.9491891121			Common Basket, Tall	248.9491891121		
Bag 11	23	1	897.3197709922			Common Barrel, Sealed	897.3197709922		
Bag 11	24	1	847.7249122711			Common Bucket, Basic	847.7249122711		
Bag 11	25	1	462.3504817908			Common Trap, Hunting	462.3504817908		
Bag 11	26	1	250			Block, Wood Cutting	250		
Bag 12	1	2	250			Tree, Large Twisted Ash	500		
Bag 12	2	4	5000			Tree, Jester's Small	20000		
Bag 12	3	2	15000			Tree, Jester's Large	30000		
Bag 12	4	6	100			Tree, Hardened Juniper	600		
Bag 12	5	1	100			Tree, Hardened Juniper	100		
Bag 12	6	1		70		Tree, Gnarled Forest		70	
Bag 12	7	10	5000			Tree, Giant Cypress	50000		
Bag 12	8	4	1000			Tree, Foothills Pine	4000		
Bag 12	9	15	1000			Tree, Ancient Mountain Pine	15000		
Bag 12	10	5		45		Topiary, Strong Cypress		225	
Bag 12	11	1	1000			Topiary, Pruned Evergreen	1000		
Bag 12	12	10	2000			Topiary, Manicured Evergreen	20000		
Bag 12	13	3	2000			Topiary, Manicured Evergreen	6000		
Bag 12	14	1	100			Stones, Gray Mossy	100		
Bag 12	15	6				Stone, Anvil Limestone			
Bag 12	16	1	100			Saplings, Juniper Cluster	100		
Bag 12	17	3				Saplings, Burnt Tall			
Bag 12	18	3	339			Saplings, Burnt Sparse	1017		
Bag 12	19	5				Saplings, Burnt Cluster			
Bag 12	20	9	250			Sapling, Withered Thicket	2250		
Bag 12	21	1	250			Sapling, Tender Harvest	250		
Bag 12	22	1	100			Sapling, Tender Autumn	100		
Bag 12	23	5	100			Sapling, Tall Highland	500		
Bag 12	24	1		25		Sapling, Sparse Laurel		25	
Bag 12	25	19				Sapling, Petrified Ashen			
Bag 12	26	2				Sapling, Petrified Ashen			
Bag 12	27	1	100			Sapling, Fragile Aspen	100		
Bag 12	28	1	100			Sapling, Autumn Cluster	100		
Bag 12	29	1	250			Rocks, Swampy Slab	250		
Bag 12	30	3	100			Rocks, Stacked Angular	300		
Bag 12	31	22	300			Rocks, Coldharbour Cluster	6600		
Bag 12	32	1	100			Rock, Slanted Tan	100		
Bag 12	33	1	100			Rock, Slanted Lichen	100		
Bag 12	34	4				Rock, Anvil Limestone			
Bag 12	35	1				Plants, Ruby Glasswort Patch			
Bag 12	36	6	501			Plants, Pearlwort Cluster	3006		
Bag 12	37	4		30		Plants, Glasswort Patch		120	
Bag 12	38	20	2500			Plants, Cerulean Spadeleaf Cluster	50000		
Bag 12	39	1		10		Plant, Towering Mammoth Ear		10	
Bag 12	40	4				Plant, Sea Grapes			
Bag 12	41	3				Plant, Pearlwort			
Bag 12	42	1		10		Plant, Palm Fronds		10	
Bag 12	43	10	1000			Plant, Cerulean Spadeleaf	10000		
Bag 12	44	1	100			Pebble, Stacked Weathered	100		
Bag 12	45	12	500			Pale Garden Flowers	6000		
Bag 12	46	1	3000			Hedge, Wall Arc	3000		
Bag 12	47	10	1250			Hedge, Tall Green	12500		
Bag 12	48	2				Hedge, Solid Arc			
Bag 12	49	2	1250			Hedge, Small Horseshoe	2500		
Bag 12	50	6	100			Fern, Lush	600		
Bag 12	51	2	100			Fern, Withering	200		
Bag 12	52	3	100			Fern, Young Healthy	300		
Bag 12	53	2	1395			Flower, Grandmother Hibiscus	2790		
Bag 12	54	4		45		Hedge, Dense High Wall		180	
Bag 12	55	5	1300			Hedge, Dense Low Wall	6500		
Bag 12	56	35	1300			Hedge, Dense Low Wall	45500		
Bag 12	57	2				Kelp, Green Pile			
Bag 12	58	6	60			Kelp, Small Pile	360		
Bag 12	59	22	1000			Fan Bush	22000		
Bag 13	1	1				Banner, Malacath			
Bag 13	2	1				Statue of Malacath, Orc-Father			
Bag 13	3	1	1830.2275032164			Argonian Banner, Half Hands	1830.2275032164		
Bag 13	4	2	12000			Banker's Sign, Large	24000		
Bag 13	5	1	3000			Banker's Sign, Small	3000		
Bag 13	6	1				Banner of Azura			
Bag 13	7	59				Banner, Jester's Standard			
Bag 13	8	1	5000			Blacksmith's Sign	5000		
Bag 13	9	1	2893.9477665498			Breton Carpet, Bordered	2893.9477665498		
Bag 13	10	2	239.7357503769			Breton Carpet, Bordered	479.4715007538		
Bag 13	11	1	3616.9008407823			Breton Figure, Stone	3616.9008407823		
Bag 13	12	2	100000			Brotherhood Stained Glass Window	200000		
Bag 13	13	1	283.7415717847			Dark Elf Tapestry, Emblazoned	283.7415717847		
Bag 13	14	1	2136.2455686036			Dres Runner, Chains	2136.2455686036		
Bag 13	15	1	8000			Dwarven Schematics, Technical	8000		
Bag 13	16	1	10000			Fighters Guild Banner	10000		
Bag 13	17	1	3382.5809041703			High Elf Banner, Gilded	3382.5809041703		
Bag 13	18	2	12000			Merchant's Sign, Large	24000		
Bag 13	19	1	3000			Merchant's Sign, Small	3000		
Bag 13	20	3	2999			Nord Rug, Bearskin	8997		
Bag 13	21	2	138.8888888889			Painting of Autumn, Bolted	277.7777777778		
Bag 13	22	5	125			Painting of Bridge, Bolted	625		
Bag 13	23	3	200			Painting of Crags, Sturdy	600		
Bag 13	24	7	236.6666666667			Painting of Creek, Sturdy	1656.6666666669		
Bag 13	25	6	200			Painting of Great Ruins, Bolted	1200		
Bag 13	26	3	250			Painting of Jungle, Sturdy	750		
Bag 13	27	4	200			Painting of Lakes, Sturdy	800		
Bag 13	28	1	154.5454545455			Painting of Palms, Sturdy	154.5454545455		
Bag 13	29	9	237.9166666667			Painting of Pasture, Sturdy	2141.2500000003		
Bag 13	30	4	198.5714285714			Painting of Spring, Sturdy	794.2857142856		
Bag 13	31	3	250			Painting of Summer, Sturdy	750		
Bag 13	32	6	150			Painting of Winter, Bolted	900		
Bag 13	33	1	293.3628076621			Redguard Curtain, Desert Rose	293.3628076621		
Bag 13	34	20				Shrub, Glowing Thistle			
Bag 13	35	8	15000			Sigil Stand	120000		
Bag 13	36	1	20000			Sigil, Akatosh	20000		
Bag 13	37	1	20000			Sigil, Arkay	20000		
Bag 13	38	1	20000			Sigil, Dibella	20000		
Bag 13	39	1	20000			Sigil, Julianos	20000		
Bag 13	40	1	20000			Sigil, Kynareth	20000		
Bag 13	41	1	20000			Sigil, Mara	20000		
Bag 13	42	1	20000			Sigil, Stendarr	20000		
Bag 13	43	1				Sithis, The Dread Father			
Bag 13	44	2	12000			Stablemaster's Sign, Large	24000		
Bag 13	45	2	3000			Stablemaster's Sign, Small	6000		
Bag 13	46	2				Tapestry of Azura			
Bag 13	47	1				Nocturnal, Mistress of Shadows			
Bag 13	48	1	244.3698554023			Wood Elf Wall Hide, Pierced	244.3698554023		
Bag 13	49	1				New Life Triptych Banner			
Bag 13	50	1	2999			Nord Rug, Bearskin	2999		
Bag 13	51	1				Plaque, Standard			
Bag 14	1	1	100000			Antler Coral, Branched Spire	100000		
Bag 14	2	3	15000			Bat Bloom	45000		
Bag 14	3	19	5000			Boulder, Coldharbour Fan	95000		
Bag 14	4	16	5000			Boulder, Coldharbour Shard	80000		
Bag 14	5	20	5000			Boulder, Coldharbour Spikes	100000		
Bag 14	6	1	250			Boulder, Flat Grey	250		
Bag 14	7	3	100			Boulder, Flat Weathered	300		
Bag 14	8	4	100			Boulder, Giant Mossy	400		
Bag 14	9	2	100			Boulder, Grey Saddle	200		
Bag 14	10	1	100			Boulder, Lichen Covered	100		
Bag 14	11	4				Branch, Curved Burnt			
Bag 14	12	3				Branch, Curved Laurel			
Bag 14	13	3				Branch, Forked Burnt			
Bag 14	14	3				Branch, Forked Laurel			
Bag 14	15	1				Branch, Sturdy Burnt			
Bag 14	16	10	4000			Buckthorn	40000		
Bag 14	17	4				Coral Formation, Ancient Pillar Polyps			
Bag 14	18	6				Coral Formation, Bulwark			
Bag 14	19	6				Coral Formation, Fan Cluster			
Bag 14	20	6				Coral Formation, Pillar Polyps			
Bag 14	21	1				Coral, Sun			
Bag 14	22	1	195			Crop, Wheat Pile	195		
Bag 14	23	1	1003.1267192267			Fabricant Tree, Vibrant Cherry Blossom	1003.1267192267		
Bag 14	24	10	100			Fern Cluster, Healthy	1000		
Bag 14	25	8	100			Fern Plant, Vibrant	800		
Bag 14	26	1	339			Mushroom, Poison Pax Stool	339		
Bag 14	27	3	7500			Ocean Antler Coral	22500		
Bag 14	28	2	20			Sea Sponge	40		
Bag 14	29	2				Seashell, Noble Starfish			
Bag 14	30	2				Seashell, Pink Scallop			
Bag 14	31	4				Seashell, Sandcake			
Bag 14	32	1				Seashell, White Scallop			
Bag 14	33	6	2500			Tree, Petrified Ashen	15000		
Bag 14	34	1	10000			Tree, Squat Pink Cherry	10000		
Bag 14	35	1	10000			Tree, Squat White Cherry	10000		
Bag 14	36	5	5000			Tree, Strong Withered	25000		
Bag 14	37	1	250			Tree, Sturdy Jungle	250		
Bag 14	38	3	100			Tree, Sturdy Juniper	300		
Bag 14	39	2	15000			Tree, Tiered Light Cherry	30000		
Bag 14	40	1	15000			Tree, Tiered Pink Cherry	15000		
Bag 14	41	1	25000			Tree, Tiered White Cherry	25000		
Bag 14	42	2	1000			Tree, Towering Mountain Pine	2000		
Bag 14	43	3	5000			Tree, Towering Withered	15000		
Bag 14	44	1	15000			Tree, Twisted Pink Cherry	15000		
Bag 14	45	1	12000			Tree, Twisted White Cherry	12000		
Bag 14	46	2	100			Trees, Crooked Swamp	200		
Bag 14	47	2	100			Trees, Paired Evergreens	200		
Bag 14	48	19	500			Vibrant Garden Flowers	9500		
Bag 14	49	1	750			Vines, Draped Ivy	750		
Bag 14	50	20	5000			Void Flower	100000		
Bag 14	51	20	3000			White Hosta	60000		
House 01	1	1	3000			Mara's Kiss Public House	3000		
House 02	1	1	3000			The Rosy Lion	3000		
House 03	1	1	3000			The Ebony Flask Inn Room	3000		
House 06	1	1	13000			Flaming Nix Deluxe Garret	13000		
House 06	2	1	1734.3			Dark Elf Candle, Claw Base	1734.3		
House 06	3	1	2391.96			Dark Elf Hook, Wall	2391.96		
House 06	4	1	1155			Dark Elf Lantern, Oil	1155		
House 09	1	1	1025000			Mathiisen Manor	1025000		
House 09	2	1	5000			Harbor Floats	5000		
House 09	3	1	10000			Anchor	10000		
House 09	4	1	4000			Dock Winch	4000		
House 09	5	1	3000			Dock Rope Wheel	3000		
House 09	6	1	4252.8331615252			Nord Chandelier, Antler	4252.8331615252		
House 09	7	1	39.3033333333			Daedric Throne, Skulls	39.3033333333		
House 09	8	1	100			Boulder, Flat Lichen	100		
House 09	9	1	1000			Hedge, Green Short	1000		
House 09	10	1	1250			Hedge, Tall Green	1250		
House 09	11	1	3000			Hedge, Wall Arc	3000		
House 09	12	1	100			Stone, Slanted Lichen	100		
House 09	13	1	2000			Topiary, Manicured Evergreen	2000		
House 09	14	1	100			Rough Plank, Long	100		
House 09	15	1	100			Rough Planks, Wide	100		
House 09	16	1	100			Rough Planks, Wide	100		
House 09	17	1	100			Rough Planks, Wide	100		
House 09	18	1	100			Rough Planks, Wide	100		
House 09	19	1	100			Rough Planks, Wide	100		
House 09	20	1	100			Rough Planks, Wide	100		
House 09	21	1	100			Rough Planks, Wide	100		
House 09	22	1	100			Rough Planks, Wide	100		
House 09	23	1	100			Rough Plank, Long	100		
House 09	24	1	100			Rough Plank, Long	100		
House 09	25	1	100			Rough Plank, Long	100		
House 09	26	1	100			Rough Plank, Long	100		
House 09	27	1	100			Rough Plank, Long	100		
House 09	28	1	100			Rough Plank, Long	100		
House 09	29	1	100			Rough Plank, Long	100		
House 09	30	1	100			Rough Plank, Long	100		
House 09	31	1	100			Rough Planks, Wide	100		
House 09	32	1	100			Rough Planks, Wide	100		
House 09	33	1	100			Rough Planks, Wide	100		
House 09	34	1	100			Rough Planks, Wide	100		
House 09	35	1	100			Rough Planks, Wide	100		
House 09	36	1	100			Rough Planks, Wide	100		
House 09	37	1	100			Rough Planks, Wide	100		
House 09	38	1	100			Rough Planks, Wide	100		
House 09	39	1	100			Rough Planks, Wide	100		
House 09	40	1	100			Rough Planks, Wide	100		
House 09	41	1	100			Rough Planks, Wide	100		
House 09	42	1	100			Rough Planks, Wide	100		
House 09	43	1	100			Rough Planks, Wide	100		
House 09	44	1	100			Rough Planks, Wide	100		
House 09	45	1	100			Rough Planks, Wide	100		
House 09	46	1	100			Rough Planks, Wide	100		
House 09	47	1	100			Rough Planks, Wide	100		
House 09	48	1	100			Rough Planks, Wide	100		
House 09	49	1	100			Rough Planks, Wide	100		
House 09	50	1	100			Rough Planks, Wide	100		
House 09	51	1	100			Rough Planks, Wide	100		
House 09	52	1	100			Rough Planks, Platform	100		
House 09	53	1	100			Rough Planks, Platform	100		
House 09	54	1	100			Rough Planks, Platform	100		
House 09	55	1	100			Rough Planks, Platform	100		
House 09	56	1	100			Rough Planks, Platform	100		
House 09	57	1	100			Rough Planks, Platform	100		
House 09	58	1	100			Rough Planks, Platform	100		
House 09	59	1	100			Rough Planks, Platform	100		
House 09	60	1	100			Rough Planks, Platform	100		
House 09	61	1	100			Rough Block, Light Stone	100		
House 09	62	1	100			Rough Block, Light Stone	100		
House 09	63	1	1300			Hedge, Dense Low Wall	1300		
House 09	64	1	1300			Hedge, Dense Low Wall	1300		
House 09	65	1	1300			Hedge, Dense Low Wall	1300		
House 09	66	1	1300			Hedge, Dense Low Wall	1300		
House 09	67	1	1300			Hedge, Dense Low Wall	1300		
House 09	68	1	1300			Hedge, Dense Low Wall	1300		
House 09	69	1	1300			Hedge, Dense Low Wall	1300		
House 09	70	1	1300			Hedge, Dense Low Wall	1300		
House 09	71	1	1300			Hedge, Dense Low Wall	1300		
House 09	72	1	1300			Hedge, Dense Low Wall	1300		
House 09	73	1	1300			Hedge, Dense Low Wall	1300		
House 09	74	1	1300			Hedge, Dense Low Wall	1300		
House 09	75	1	1300			Hedge, Dense Low Wall	1300		
House 09	76	1	1300			Hedge, Dense Low Wall	1300		
House 09	77	1	1300			Hedge, Dense Low Wall	1300		
House 09	78	1	1300			Hedge, Dense Low Wall	1300		
House 09	79	1	100			Rough Plank, Long	100		
House 09	80	1	100			Rough Plank, Long	100		
House 09	81	1	100			Rough Plank, Long	100		
House 09	82	1	100			Rough Plank, Long	100		
House 09	83	1	100			Rough Planks, Wide	100		
House 09	84	1	100			Rough Planks, Wide	100		
House 09	85	1	100			Rough Planks, Wide	100		
House 09	86	1	100			Rough Planks, Wide	100		
House 09	87	1	100			Rough Planks, Platform	100		
House 09	88	1	100			Rough Planks, Wide	100		
House 09	89	1	100			Rough Planks, Platform	100		
House 09	90	1	100			Rough Planks, Wide	100		
House 09	91	1	100			Rough Planks, Wide	100		
House 09	92	1	100			Rough Planks, Wide	100		
House 09	93	1	100			Rough Block, Light Stone	100		
House 09	94	1	100			Pebbles, Stacked Mossy	100		
House 09	95	1	100			Stone, Slanted Mossy	100		
House 09	96	1	979.3341281222			Redguard Tent, Starry	979.3341281222		
House 09	97	1	100			Rough Rod, Fishing	100		
House 09	98	1	100			Rough Spear, Fishing	100		
House 09	99	1	1011.3264211863			Breton Sconce, Torch	1011.3264211863		
House 09	100	1	750			Factotum Head, Obsolete	750		
House 09	101	1	500			Boulder, Volcanic Plug	500		
House 09	102	1	100			Rough Planks, Platform	100		
House 09	103	1	100000			Redguard Tent, Rounded Silk	100000		
House 09	104	1	25000			Fishing Vessel	25000		
House 09	105	1	100			Rough Planks, Platform	100		
House 09	106	1	3000			Dock Rope Wheel	3000		
House 09	107	1	5000			Harbor Floats	5000		
House 09	108	1	5000			Harbor Floats	5000		
House 09	109	1	5000			Harbor Floats	5000		
House 09	110	1	100			Rough Rod, Fishing	100		
House 09	111	1	100			Rough Rod, Fishing	100		
House 09	112	1	100			Rough Spear, Fishing	100		
House 09	113	1	15000			Deer Head, Wall Mount	15000		
House 09	114	1	4523.742681881			Orcish Sconce, Caged	4523.742681881		
House 09	115	1	2375.261437357			High Elf Stool, Covered	2375.261437357		
House 09	116	1	230.5223116417			Argonian Mat, Rolled Reed	230.5223116417		
House 11	1	1	195000			The Ample Domicile	195000		
House 11	2	1	1309.66			Argonian Light, Stick	1309.66		
House 11	3	1	1200			Argonian Lamppost	1200		
House 11	4	1	100			Fern, Young Healthy	100		
House 11	5	1	1309.66			Argonian Light, Stick	1309.66		
House 11	6	1	100			Pebbles, Stacked Mossy	100		
House 11	7	1	100			Fern, Young Healthy	100		
House 11	8	1	250			Flower, Healthy Hibiscus	250		
House 11	9	1	250			Flower, Healthy Hibiscus	250		
House 11	10	1	100			Fern, Young Healthy	100		
House 11	11	1	100			Plant, Dry Spike	100		
House 11	12	1	1309.66			Argonian Light, Stick	1309.66		
House 11	13	1	1395			Flower, Grandmother Hibiscus	1395		
House 11	14	1	100			Fern, Young Healthy	100		
House 11	15	1	100			Fern Plant, Sturdy Towering	100		
House 11	16	1	1395			Flower, Grandmother Hibiscus	1395		
House 11	17	1	100			Boulder, Grey Saddle	100		
House 11	18	1	100			Plant, Dry Spike	100		
House 11	19	1	100			Boulder, Lichen Covered	100		
House 11	20	1	100			Fern Plant, Vibrant	100		
House 11	21	1	250			Tree, Mud Palm	250		
House 11	22	1	250			Tree, Towering Swamp Palm	250		
House 11	23	1	250			Tree, Mud Palm	250		
House 11	24	1	250			Tree, Mud Palm	250		
House 19	1	1	69000			Kragenhome	69000		
House 19	2	1	1734.3			Dark Elf Candle, Claw Base	1734.3		
House 19	3	1	5052.11			Dark Elf Lantern, Ashen	5052.11		
House 19	4	1	2391.96			Dark Elf Hook, Wall	2391.96		
House 28	1	1	60000			Autumn's-Gate	60000		
House 28	2	1				Firelogs, Flaming			
House 28	3	1	813.19			Nord Footlocker, Braced	813.19		
House 28	4	1				Firelogs, Ashen			
House 28	5	1	100			Rough Firewood, Stack	100		
House 28	6	1	511.46			Nord Pot, Covered	511.46		
House 28	7	1				Painting of Swamp, Refined			
House 28	8	1	1101.81			Nord Bed, Single	1101.81		
House 28	9	1	100			Fern, Dead	100		
House 28	10	1	100			Fern, Dead	100		
House 28	11	1	100			Fern, Dead	100		
House 28	12	1	100			Fern, Dead	100		
House 28	13	1	100			Sapling, Tender Autumn	100		
House 28	14	1	100			Fern, Withering	100		
House 28	15	1	100			Rock, Slanted Tan	100		
House 28	16	1	100			Sapling, Budding Red	100		
House 28	17	1	2075.39			Nord Lantern, Hanging	2075.39		
House 28	18	1	943.15			Nord Counter, Long	943.15		
House 28	19	1	100			Trees, Young Autumn Birch	100		
House 28	20	1				Tree, Young Green Birch			
House 28	21	1	1803.72			Nord Streetlamps, Stone	1803.72		
House 28	22	1	100			Rough Block, Stone Brick	100		
